,year,month,temp
993,1982,9,20.66 
994,1982,10,15.49 
995,1982,11,10.21 
996,1982,12,7.24 
997,1983,1,5.06 
998,1983,2,6.78 
999,1983,3,9.59 
1000,1983,4,11.66 
1001,1983,5,17.20 
1002,1983,6,21.55 
1003,1983,7,24.74 
1004,1983,8,25.15 
1005,1983,9,21.80 
1006,1983,10,16.27 
1007,1983,11,10.61 
1008,1983,12,3.34 
1009,1984,1,3.48 
1010,1984,2,7.51 
1011,1984,3,8.83 
1012,1984,4,13.00 
1013,1984,5,18.44 
1014,1984,6,22.45 
1015,1984,7,24.38 
1016,1984,8,24.48 
1017,1984,9,21.03 
1018,1984,10,15.95 
1019,1984,11,9.63 
1020,1984,12,7.17 
1021,1985,1,2.22 
1022,1985,2,4.96 
1023,1985,3,10.22 
1024,1985,4,15.26 
1025,1985,5,18.66 
1026,1985,6,22.15 
1027,1985,7,24.70 
1028,1985,8,23.80 
1029,1985,9,20.36 
1030,1985,10,16.19 
1031,1985,11,10.43 
1032,1985,12,3.91 
1033,1986,1,6.08 
1034,1986,2,6.97 
1035,1986,3,11.10 
1036,1986,4,14.43 
1037,1986,5,18.59 
1038,1986,6,22.71 
1039,1986,7,24.59 
1040,1986,8,23.74 
1041,1986,9,20.50 
1042,1986,10,15.67 
1043,1986,11,10.42 
1044,1986,12,6.08 
1045,1987,1,4.20 
1046,1987,2,6.81 
1047,1987,3,9.77 
1048,1987,4,14.40 
1049,1987,5,19.26 
1050,1987,6,22.82 
1051,1987,7,24.22 
1052,1987,8,24.14 
1053,1987,9,21.13 
1054,1987,10,15.04 
1055,1987,11,10.83 
1056,1987,12,5.96 
1057,1988,1,3.23 
1058,1988,2,5.95 
1059,1988,3,10.02 
1060,1988,4,13.69 
1061,1988,5,18.20 
1062,1988,6,22.31 
1063,1988,7,25.21 
1064,1988,8,24.84 
1065,1988,9,20.90 
1066,1988,10,15.09 
1067,1988,11,10.88 
1068,1988,12,5.64 
1069,1989,1,6.19 
1070,1989,2,4.49 
1071,1989,3,10.27 
1072,1989,4,14.62 
1073,1989,5,18.08 
1074,1989,6,22.05 
1075,1989,7,24.58 
1076,1989,8,23.49 
1077,1989,9,20.57 
1078,1989,10,15.76 
1079,1989,11,10.71 
1080,1989,12,2.56 
1081,1990,1,7.12 
1082,1990,2,7.38 
1083,1990,3,10.82 
1084,1990,4,14.26 
1085,1990,5,17.57 
1086,1990,6,22.95 
1087,1990,7,24.57 
1088,1990,8,24.01 
1089,1990,9,21.69 
1090,1990,10,16.28 
1091,1990,11,11.59 
1092,1990,12,5.47 
1093,1991,1,4.42 
1094,1991,2,8.44 
1095,1991,3,9.89 
1096,1991,4,14.48 
1097,1991,5,19.07 
1098,1991,6,22.17 
1099,1991,7,24.62 
1100,1991,8,24.06 
1101,1991,9,21.02 
1102,1991,10,16.63 
1103,1991,11,9.46 
1104,1991,12,6.80 
1105,1992,1,5.26 
1106,1992,2,8.24 
1107,1992,3,10.06 
1108,1992,4,14.29 
1109,1992,5,18.30 
1110,1992,6,21.41 
1111,1992,7,23.99 
1112,1992,8,23.24 
1113,1992,9,21.14 
1114,1992,10,15.73 
1115,1992,11,9.72 
1116,1992,12,5.43 
1117,1993,1,5.14 
1118,1993,2,4.91 
1119,1993,3,9.30 
1120,1993,4,13.25 
1121,1993,5,18.48 
1122,1993,6,22.15 
1123,1993,7,24.63 
1124,1993,8,24.41 
1125,1993,9,20.60 
1126,1993,10,15.34 
1127,1993,11,9.36 
1128,1993,12,5.71 
1129,1994,1,3.65 
1130,1994,2,5.20 
1131,1994,3,10.47 
1132,1994,4,14.55 
1133,1994,5,17.61 
1134,1994,6,23.45 
1135,1994,7,24.62 
1136,1994,8,24.05 
1137,1994,9,20.98 
1138,1994,10,15.64 
1139,1994,11,10.47 
1140,1994,12,6.97 
1141,1995,1,5.50 
1142,1995,2,7.01 
1143,1995,3,10.38 
1144,1995,4,13.09 
1145,1995,5,17.37 
1146,1995,6,21.70 
1147,1995,7,24.96 
1148,1995,8,25.31 
1149,1995,9,21.12 
1150,1995,10,16.52 
1151,1995,11,10.17 
1152,1995,12,5.56 
1153,1996,1,4.46 
1154,1996,2,6.69 
1155,1996,3,8.43 
1156,1996,4,13.84 
1157,1996,5,18.88 
1158,1996,6,22.81 
1159,1996,7,24.77 
1160,1996,8,24.34 
1161,1996,9,20.61 
1162,1996,10,15.56 
1163,1996,11,9.40 
1164,1996,12,6.81 
1165,1997,1,4.48 
1166,1997,2,7.31 
1167,1997,3,11.39 
1168,1997,4,12.72 
1169,1997,5,18.25 
1170,1997,6,21.94 
1171,1997,7,24.48 
1172,1997,8,24.00 
1173,1997,9,21.89 
1174,1997,10,15.65 
1175,1997,11,9.66 
1176,1997,12,5.69 
1177,1998,1,6.77 
1178,1998,2,7.53 
1179,1998,3,9.55 
1180,1998,4,13.26 
1181,1998,5,18.76 
1182,1998,6,22.13 
1183,1998,7,25.34 
1184,1998,8,25.26 
1185,1998,9,22.48 
1186,1998,10,16.16 
1187,1998,11,11.24 
1188,1998,12,6.97 
1189,1999,1,5.82 
1190,1999,2,7.95 
1191,1999,3,9.08 
1192,1999,4,13.75 
1193,1999,5,18.05 
1194,1999,6,22.15 
1195,1999,7,25.08 
1196,1999,8,24.36 
1197,1999,9,21.14 
1198,1999,10,16.32 
1199,1999,11,12.55 
1200,1999,12,6.86 
1201,2000,1,5.63 
1202,2000,2,8.17 
1203,2000,3,11.41 
1204,2000,4,14.18 
1205,2000,5,19.67 
1206,2000,6,22.79 
1207,2000,7,24.23 
